source_idx,source_title,similar_title,weight
143,Brainstorm/J: a Java Framework for Intelligent Agents,From Statistical Knowledge Bases to Degrees of Belief,2
144,On the relationship between fuzzy logic and four-valued relevance logic,"Local-search techniques for propositional logic extended with
  cardinality constraints",2
144,On the relationship between fuzzy logic and four-valued relevance logic,n-ary Fuzzy Logic and Neutrosophic Logic Operators,2
144,On the relationship between fuzzy logic and four-valued relevance logic,"N-norm and N-conorm in Neutrosophic Logic and Set, and the Neutrosophic
  Topologies",2
144,On the relationship between fuzzy logic and four-valued relevance logic,Terrorism Event Classification Using Fuzzy Inference Systems,2
145,"Causes and Explanations: A Structural-Model Approach, Part I: Causes","Causes and Explanations: A Structural-Model Approach. Part II:
  Explanations",10
145,"Causes and Explanations: A Structural-Model Approach, Part I: Causes","Estimation of linear, non-gaussian causal models in the presence of
  confounding latent variables",3
145,"Causes and Explanations: A Structural-Model Approach, Part I: Causes",A study of structural properties on profiles HMMs,2
145,"Causes and Explanations: A Structural-Model Approach, Part I: Causes",On a Model for Integrated Information,2
146,"Logic Programming Approaches for Representing and Solving Constraint
  Satisfaction Problems: A Comparison",Logic programs with propositional connectives and aggregates,4
146,"Logic Programming Approaches for Representing and Solving Constraint
  Satisfaction Problems: A Comparison",Using Pivot Consistency to Decompose and Solve Functional CSPs,3
146,"Logic Programming Approaches for Representing and Solving Constraint
  Satisfaction Problems: A Comparison",MUSE CSP: An Extension to the Constraint Satisfaction Problem,3
146,"Logic Programming Approaches for Representing and Solving Constraint
  Satisfaction Problems: A Comparison","A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search
  Difficulty",3
146,"Logic Programming Approaches for Representing and Solving Constraint
  Satisfaction Problems: A Comparison",Relation Variables in Qualitative Spatial Reasoning,3
151,Enhancing Constraint Propagation with Composition Operators,The Essence of Constraint Propagation,3
151,Enhancing Constraint Propagation with Composition Operators,Some Remarks on Boolean Constraint Propagation,3
152,On Properties of Update Sequences Based on Causal Rejection,A Compiler for Ordered Logic Programs,4
152,On Properties of Update Sequences Based on Causal Rejection,Logic Programs with Compiled Preferences,4
152,On Properties of Update Sequences Based on Causal Rejection,A Framework for Compiling Preferences in Logic Programs,4
152,On Properties of Update Sequences Based on Causal Rejection,Reasoning about Evolving Nonmonotonic Knowledge Bases,3
152,On Properties of Update Sequences Based on Causal Rejection,"Towards Automated Integration of Guess and Check Programs in Answer Set
  Programming: A Meta-Interpreter and Applications",3
156,"Nonmonotonic Reasoning, Preferential Models and Cumulative Logics",The logical meaning of Expansion,2
157,What does a conditional knowledge base entail?,A Hierarchy of Tractable Subsets for Computing Stable Models,3
157,What does a conditional knowledge base entail?,A Consistency-Based Model for Belief Change: Preliminary Report,3
157,What does a conditional knowledge base entail?,Probabilistic Default Reasoning with Conditional Constraints,2
157,What does a conditional knowledge base entail?,Representing Knowledge about Norms,2
157,What does a conditional knowledge base entail?,On Building a Knowledge Base for Stability Theory,2
159,Distance Semantics for Belief Revision,Belief Revision and Rational Inference,4
159,Distance Semantics for Belief Revision,Optimal Belief Revision,3
159,Distance Semantics for Belief Revision,SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,3
159,Distance Semantics for Belief Revision,Belief Conditioning Rules (BCRs),3
159,Distance Semantics for Belief Revision,A general approach to belief change in answer set programming,3
161,Nonmonotonic inference operations,Deductive Nonmonotonic Inference Operations: Antitonic Representations,4
162,The logical meaning of Expansion,"Nonmonotonic Reasoning, Preferential Models and Cumulative Logics",2
163,Another perspective on Default Reasoning,Probabilistic Default Reasoning with Conditional Constraints,3
163,Another perspective on Default Reasoning,From Statistical Knowledge Bases to Degrees of Belief,3
164,Deductive Nonmonotonic Inference Operations: Antitonic Representations,Nonmonotonic inference operations,4
164,Deductive Nonmonotonic Inference Operations: Antitonic Representations,Application of Rough Set Theory to Analysis of Hydrocyclone Operation,2
166,A Framework for Compiling Preferences in Logic Programs,Logic Programs with Compiled Preferences,12
166,A Framework for Compiling Preferences in Logic Programs,A Compiler for Ordered Logic Programs,8
166,A Framework for Compiling Preferences in Logic Programs,"Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences",5
166,A Framework for Compiling Preferences in Logic Programs,A general approach to belief change in answer set programming,5
166,A Framework for Compiling Preferences in Logic Programs,On Properties of Update Sequences Based on Causal Rejection,4
167,Two results for proiritized logic programming,SLDNFA-system,2
167,Two results for proiritized logic programming,Parametric Connectives in Disjunctive Logic Programming,2
168,Belief Revision and Rational Inference,Distance Semantics for Belief Revision,4
168,Belief Revision and Rational Inference,Optimal Belief Revision,3
168,Belief Revision and Rational Inference,SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,3
168,Belief Revision and Rational Inference,Belief Conditioning Rules (BCRs),3
168,Belief Revision and Rational Inference,A general approach to belief change in answer set programming,3
169,Ultimate approximations in nonmonotonic knowledge representation systems,Decidable Reasoning in Terminological Knowledge Representation Systems,3
169,Ultimate approximations in nonmonotonic knowledge representation systems,"A Semantics and Complete Algorithm for Subsumption in the CLASSIC
  Description Logic",3
170,Handling Defeasibilities in Action Domains,Defeasible Reasoning in OSCAR,2
170,Handling Defeasibilities in Action Domains,"E-RES: A System for Reasoning about Actions, Events and Observations",2
170,Handling Defeasibilities in Action Domains,Metatheory of actions: beyond consistency,2
171,Anticipatory Guidance of Plot,"A Comparison of Different Cognitive Paradigms Using Simple Animats in a
  Virtual Laboratory, with Implications to the Notion of Cognition",2
171,Anticipatory Guidance of Plot,Can an Organism Adapt Itself to Unforeseen Circumstances?,2
171,Anticipatory Guidance of Plot,Using RDF to Model the Structure and Process of Systems,2
172,"Abduction, ASP and Open Logic Programs","Consistency Management of Normal Logic Program by Top-down Abductive
  Proof Procedure",4
172,"Abduction, ASP and Open Logic Programs",Smodels: A System for Answer Set Programming,3
172,"Abduction, ASP and Open Logic Programs","Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences",2
172,"Abduction, ASP and Open Logic Programs",Practical Methods for Proving Termination of General Logic Programs,2
172,"Abduction, ASP and Open Logic Programs",A Compiler for Ordered Logic Programs,2
173,Domain-Dependent Knowledge in Answer Set Planning,Logic Programs with Compiled Preferences,5
173,Domain-Dependent Knowledge in Answer Set Planning,Open Answer Set Programming with Guarded Programs,5
173,Domain-Dependent Knowledge in Answer Set Planning,Fages' Theorem and Answer Set Programming,4
173,Domain-Dependent Knowledge in Answer Set Planning,A semantic framework for preference handling in answer set programming,4
173,Domain-Dependent Knowledge in Answer Set Planning,Normal forms for Answer Sets Programming,4
177,Logic Programming with Ordered Disjunction,A Compiler for Ordered Logic Programs,2
177,Logic Programming with Ordered Disjunction,Smodels: A System for Answer Set Programming,2
177,Logic Programming with Ordered Disjunction,Fages' Theorem and Answer Set Programming,2
177,Logic Programming with Ordered Disjunction,A semantic framework for preference handling in answer set programming,2
177,Logic Programming with Ordered Disjunction,Normal forms for Answer Sets Programming,2
179,Modeling Complex Domains of Actions and Change,Knowledge And The Action Description Language A,2
180,Value Based Argumentation Frameworks,Fusion of qualitative beliefs using DSmT,2
181,"Preferred well-founded semantics for logic programming by alternating
  fixpoints: Preliminary report","Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences",3
181,"Preferred well-founded semantics for logic programming by alternating
  fixpoints: Preliminary report","Comparisons and Computation of Well-founded Semantics for Disjunctive
  Logic Programs",3
181,"Preferred well-founded semantics for logic programming by alternating
  fixpoints: Preliminary report",A Compiler for Ordered Logic Programs,2
181,"Preferred well-founded semantics for logic programming by alternating
  fixpoints: Preliminary report",Logic Programs with Compiled Preferences,2
181,"Preferred well-founded semantics for logic programming by alternating
  fixpoints: Preliminary report",A Framework for Compiling Preferences in Logic Programs,2
182,Embedding Default Logic in Propositional Argumentation Systems,Uniform semantic treatment of default and autoepistemic logics,2
182,Embedding Default Logic in Propositional Argumentation Systems,"Consistency Management of Normal Logic Program by Top-down Abductive
  Proof Procedure",2
182,Embedding Default Logic in Propositional Argumentation Systems,"On the existence and multiplicity of extensions in dialectical
  argumentation",2
182,Embedding Default Logic in Propositional Argumentation Systems,Defeasible Logic Programming: An Argumentative Approach,2
182,Embedding Default Logic in Propositional Argumentation Systems,"N-norm and N-conorm in Neutrosophic Logic and Set, and the Neutrosophic
  Topologies",2
183,"On the existence and multiplicity of extensions in dialectical
  argumentation",Embedding Default Logic in Propositional Argumentation Systems,2
183,"On the existence and multiplicity of extensions in dialectical
  argumentation",Defeasible Logic Programming: An Argumentative Approach,2
187,Knowledge Representation,Decidable Reasoning in Terminological Knowledge Representation Systems,3
187,Knowledge Representation,Translating between Horn Representations and their Characteristic Models,2
187,Knowledge Representation,SLDNFA-system,2
187,Knowledge Representation,Granularity-Adaptive Proof Presentation,2
188,"Causes and Explanations: A Structural-Model Approach. Part II:
  Explanations","Causes and Explanations: A Structural-Model Approach, Part I: Causes",10
188,"Causes and Explanations: A Structural-Model Approach. Part II:
  Explanations",Decision-Theoretic Foundations for Causal Reasoning,2
188,"Causes and Explanations: A Structural-Model Approach. Part II:
  Explanations","Estimation of linear, non-gaussian causal models in the presence of
  confounding latent variables",2
188,"Causes and Explanations: A Structural-Model Approach. Part II:
  Explanations",Ontology-based inference for causal explanation,2
189,Reasoning about Evolving Nonmonotonic Knowledge Bases,"Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences",3
189,Reasoning about Evolving Nonmonotonic Knowledge Bases,Logic Programs with Compiled Preferences,3
189,Reasoning about Evolving Nonmonotonic Knowledge Bases,On Properties of Update Sequences Based on Causal Rejection,3
189,Reasoning about Evolving Nonmonotonic Knowledge Bases,A Framework for Compiling Preferences in Logic Programs,3
189,Reasoning about Evolving Nonmonotonic Knowledge Bases,Decidable Reasoning in Terminological Knowledge Representation Systems,2
190,"A Comparison of Different Cognitive Paradigms Using Simple Animats in a
  Virtual Laboratory, with Implications to the Notion of Cognition",Anticipatory Guidance of Plot,2
190,"A Comparison of Different Cognitive Paradigms Using Simple Animats in a
  Virtual Laboratory, with Implications to the Notion of Cognition",Recycling Computed Answers in Rewrite Systems for Abduction,2
190,"A Comparison of Different Cognitive Paradigms Using Simple Animats in a
  Virtual Laboratory, with Implications to the Notion of Cognition",Can an Organism Adapt Itself to Unforeseen Circumstances?,2
190,"A Comparison of Different Cognitive Paradigms Using Simple Animats in a
  Virtual Laboratory, with Implications to the Notion of Cognition",Using RDF to Model the Structure and Process of Systems,2
191,Revising Partially Ordered Beliefs,Optimal Belief Revision,2
191,Revising Partially Ordered Beliefs,A Consistency-Based Model for Belief Change: Preliminary Report,2
191,Revising Partially Ordered Beliefs,SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,2
191,Revising Partially Ordered Beliefs,Distance Semantics for Belief Revision,2
191,Revising Partially Ordered Beliefs,Belief Revision and Rational Inference,2
192,"Can the whole brain be simpler than its ""parts""?","Functional Brain Imaging with Multi-Objective Multi-Modal Evolutionary
  Optimization",2
194,"Dynamic Adjustment of the Motivation Degree in an Action Selection
  Mechanism","A Model for Combination of External and Internal Stimuli in the Action
  Selection of an Autonomous Agent",5
194,"Dynamic Adjustment of the Motivation Degree in an Action Selection
  Mechanism",Action Selection Properties in a Software Simulated Agent,4
195,Action Selection Properties in a Software Simulated Agent,"A Model for Combination of External and Internal Stimuli in the Action
  Selection of an Autonomous Agent",5
195,Action Selection Properties in a Software Simulated Agent,"Dynamic Adjustment of the Motivation Degree in an Action Selection
  Mechanism",4
196,"A Model for Combination of External and Internal Stimuli in the Action
  Selection of an Autonomous Agent","Dynamic Adjustment of the Motivation Degree in an Action Selection
  Mechanism",5
196,"A Model for Combination of External and Internal Stimuli in the Action
  Selection of an Autonomous Agent",Action Selection Properties in a Software Simulated Agent,5
197,Searching for Plannable Domains can Speed up Reinforcement Learning,Reinforcement Learning: A Survey,3
197,Searching for Plannable Domains can Speed up Reinforcement Learning,"Truncating Temporal Differences: On the Efficient Implementation of
  TD(lambda) for Reinforcement Learning",2
199,"Comparisons and Computation of Well-founded Semantics for Disjunctive
  Logic Programs","Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences",6
199,"Comparisons and Computation of Well-founded Semantics for Disjunctive
  Logic Programs","Towards Automated Integration of Guess and Check Programs in Answer Set
  Programming: A Meta-Interpreter and Applications",4
199,"Comparisons and Computation of Well-founded Semantics for Disjunctive
  Logic Programs",Practical Methods for Proving Termination of General Logic Programs,3
199,"Comparisons and Computation of Well-founded Semantics for Disjunctive
  Logic Programs","Consistency Management of Normal Logic Program by Top-down Abductive
  Proof Procedure",3
199,"Comparisons and Computation of Well-founded Semantics for Disjunctive
  Logic Programs",Logic Programs with Compiled Preferences,3
200,A semantic framework for preference handling in answer set programming,Open Answer Set Programming with Guarded Programs,7
200,A semantic framework for preference handling in answer set programming,Fages' Theorem and Answer Set Programming,6
200,A semantic framework for preference handling in answer set programming,Normal forms for Answer Sets Programming,6
200,A semantic framework for preference handling in answer set programming,An Application of Proof-Theory in Answer Set Programming,6
200,A semantic framework for preference handling in answer set programming,Logic Programs with Compiled Preferences,5
201,Defeasible Logic Programming: An Argumentative Approach,Parametric Connectives in Disjunctive Logic Programming,3
201,Defeasible Logic Programming: An Argumentative Approach,Integrating Defeasible Argumentation and Machine Learning Techniques,3
201,Defeasible Logic Programming: An Argumentative Approach,Propositional Defeasible Logic has Linear Complexity,3
201,Defeasible Logic Programming: An Argumentative Approach,Pruning Search Space in Defeasible Argumentation,3
201,Defeasible Logic Programming: An Argumentative Approach,Logic programming with social features,3
203,Kalman-filtering using local interactions,"Emotion: Appraisal-coping model for the ""Cascades"" problem",2
204,On the Notion of Cognition,Hacia una teoria de unificacion para los comportamientos cognitivos,2
205,Unfolding Partiality and Disjunctions in Stable Model Semantics,Smodels: A System for Answer Set Programming,4
205,Unfolding Partiality and Disjunctions in Stable Model Semantics,"Achieving compositionality of the stable model semantics for Smodels
  programs",4
205,Unfolding Partiality and Disjunctions in Stable Model Semantics,Epistemic Foundation of Stable Model Semantics,3
205,Unfolding Partiality and Disjunctions in Stable Model Semantics,A Hierarchy of Tractable Subsets for Computing Stable Models,2
205,Unfolding Partiality and Disjunctions in Stable Model Semantics,"Comparisons and Computation of Well-founded Semantics for Disjunctive
  Logic Programs",2
207,A Framework for Searching AND/OR Graphs with Cycles,Quantum Computing and Phase Transitions in Combinatorial Search,2
207,A Framework for Searching AND/OR Graphs with Cycles,Online Search Cost Estimation for SAT Solvers,2
208,On rho in a Decision-Theoretic Apparatus of Dempster-Shafer Theory,"Great Expectations. Part I: On the Customizability of Generalized
  Expected Utility",3
208,On rho in a Decision-Theoretic Apparatus of Dempster-Shafer Theory,"Great Expectations. Part II: Generalized Expected Utility as a Universal
  Decision Rule",3
208,On rho in a Decision-Theoretic Apparatus of Dempster-Shafer Theory,Convergence of Expected Utility for Universal AI,3
208,On rho in a Decision-Theoretic Apparatus of Dempster-Shafer Theory,"Adaptative combination rule and proportional conflict redistribution
  rule for information fusion",2
209,Updating beliefs with incomplete observations,Updating Sets of Probabilities,3
209,Updating beliefs with incomplete observations,Node discovery problem for a social network,2
212,"Probabilistic Reasoning as Information Compression by Multiple
  Alignment, Unification and Search: An Introduction and Overview","Unsupervised Grammar Induction in a Framework of Information Compression
  by Multiple Alignment, Unification and Search",5
212,"Probabilistic Reasoning as Information Compression by Multiple
  Alignment, Unification and Search: An Introduction and Overview","Information Compression by Multiple Alignment, Unification and Search as
  a Unifying Principle in Computing and Cognition",4
212,"Probabilistic Reasoning as Information Compression by Multiple
  Alignment, Unification and Search: An Introduction and Overview",Unifying Computing and Cognition: The SP Theory and its Applications,4
213,"Information Compression by Multiple Alignment, Unification and Search as
  a Unifying Principle in Computing and Cognition","Unsupervised Grammar Induction in a Framework of Information Compression
  by Multiple Alignment, Unification and Search",5
213,"Information Compression by Multiple Alignment, Unification and Search as
  a Unifying Principle in Computing and Cognition",Unifying Computing and Cognition: The SP Theory and its Applications,5
213,"Information Compression by Multiple Alignment, Unification and Search as
  a Unifying Principle in Computing and Cognition","Probabilistic Reasoning as Information Compression by Multiple
  Alignment, Unification and Search: An Introduction and Overview",4
214,"Integrating cardinal direction relations and other orientation relations
  in Qualitative Spatial Reasoning","Integrating existing cone-shaped and projection-based cardinal direction
  relations and a TCSP-like decidable generalisation",4
214,"Integrating cardinal direction relations and other orientation relations
  in Qualitative Spatial Reasoning",Relation Variables in Qualitative Spatial Reasoning,3
214,"Integrating cardinal direction relations and other orientation relations
  in Qualitative Spatial Reasoning",Reasoning about Cardinal Directions between Extended Objects,2
214,"Integrating cardinal direction relations and other orientation relations
  in Qualitative Spatial Reasoning","Oriented Straight Line Segment Algebra: Qualitative Spatial Reasoning
  about Oriented Objects",2
216,From Statistical Knowledge Bases to Degrees of Belief,Random Worlds and Maximum Entropy,4
216,From Statistical Knowledge Bases to Degrees of Belief,Probabilistic Default Reasoning with Conditional Constraints,4
216,From Statistical Knowledge Bases to Degrees of Belief,Another perspective on Default Reasoning,3
216,From Statistical Knowledge Bases to Degrees of Belief,Uniform semantic treatment of default and autoepistemic logics,2
216,From Statistical Knowledge Bases to Degrees of Belief,Brainstorm/J: a Java Framework for Intelligent Agents,2
218,Quantifying and Visualizing Attribute Interactions,A Model for Managing Collections of Patterns,2
221,The Algebra of Utility Inference,An information theory for preferences,2
221,The Algebra of Utility Inference,"Great Expectations. Part I: On the Customizability of Generalized
  Expected Utility",2
221,The Algebra of Utility Inference,"Convergence of Expected Utilities with Algorithmic Probability
  Distributions",2
221,The Algebra of Utility Inference,Convergence of Expected Utility for Universal AI,2
222,An information theory for preferences,The Algebra of Utility Inference,2
222,An information theory for preferences,"Great Expectations. Part I: On the Customizability of Generalized
  Expected Utility",2
222,An information theory for preferences,"Convergence of Expected Utilities with Algorithmic Probability
  Distributions",2
222,An information theory for preferences,Convergence of Expected Utility for Universal AI,2
223,"Abductive Logic Programs with Penalization: Semantics, Complexity and
  Implementation",A general approach to belief change in answer set programming,4
223,"Abductive Logic Programs with Penalization: Semantics, Complexity and
  Implementation","Translating OWL and Semantic Web Rules into Prolog: Moving Toward
  Description Logic Programs",3
223,"Abductive Logic Programs with Penalization: Semantics, Complexity and
  Implementation",Logic programs with propositional connectives and aggregates,3
223,"Abductive Logic Programs with Penalization: Semantics, Complexity and
  Implementation","Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences",2
223,"Abductive Logic Programs with Penalization: Semantics, Complexity and
  Implementation",Practical Methods for Proving Termination of General Logic Programs,2
224,"Local-search techniques for propositional logic extended with
  cardinality constraints",WSAT(cc) - a fast local-search ASP solver,4
224,"Local-search techniques for propositional logic extended with
  cardinality constraints",On the relationship between fuzzy logic and four-valued relevance logic,2
225,WSAT(cc) - a fast local-search ASP solver,"Local-search techniques for propositional logic extended with
  cardinality constraints",4
226,Utility-Probability Duality,"Convergence of Expected Utilities with Algorithmic Probability
  Distributions",4
226,Utility-Probability Duality,"Approximate Discrete Probability Distribution Representation using a
  Multi-Resolution Binary Tree",2
226,Utility-Probability Duality,"N-norm and N-conorm in Neutrosophic Logic and Set, and the Neutrosophic
  Topologies",2
226,Utility-Probability Duality,Convergence of Expected Utility for Universal AI,2
227,Parametric Connectives in Disjunctive Logic Programming,"Comparisons and Computation of Well-founded Semantics for Disjunctive
  Logic Programs",3
227,Parametric Connectives in Disjunctive Logic Programming,Defeasible Logic Programming: An Argumentative Approach,3
227,Parametric Connectives in Disjunctive Logic Programming,Logic programming with social features,3
227,Parametric Connectives in Disjunctive Logic Programming,A general approach to belief change in answer set programming,3
227,Parametric Connectives in Disjunctive Logic Programming,ACLP: Integrating Abduction and Constraint Solving,2
229,"Great Expectations. Part I: On the Customizability of Generalized
  Expected Utility","Great Expectations. Part II: Generalized Expected Utility as a Universal
  Decision Rule",6
229,"Great Expectations. Part I: On the Customizability of Generalized
  Expected Utility",On rho in a Decision-Theoretic Apparatus of Dempster-Shafer Theory,3
229,"Great Expectations. Part I: On the Customizability of Generalized
  Expected Utility",Convergence of Expected Utility for Universal AI,3
229,"Great Expectations. Part I: On the Customizability of Generalized
  Expected Utility",The Algebra of Utility Inference,2
229,"Great Expectations. Part I: On the Customizability of Generalized
  Expected Utility",An information theory for preferences,2
230,"Great Expectations. Part II: Generalized Expected Utility as a Universal
  Decision Rule","Great Expectations. Part I: On the Customizability of Generalized
  Expected Utility",6
230,"Great Expectations. Part II: Generalized Expected Utility as a Universal
  Decision Rule",Convergence of Expected Utility for Universal AI,4
230,"Great Expectations. Part II: Generalized Expected Utility as a Universal
  Decision Rule",On rho in a Decision-Theoretic Apparatus of Dempster-Shafer Theory,3
230,"Great Expectations. Part II: Generalized Expected Utility as a Universal
  Decision Rule",Further Experimental Evidence against the Utility of Occam's Razor,2
231,"Unsupervised Grammar Induction in a Framework of Information Compression
  by Multiple Alignment, Unification and Search","Probabilistic Reasoning as Information Compression by Multiple
  Alignment, Unification and Search: An Introduction and Overview",5
231,"Unsupervised Grammar Induction in a Framework of Information Compression
  by Multiple Alignment, Unification and Search","Information Compression by Multiple Alignment, Unification and Search as
  a Unifying Principle in Computing and Cognition",5
231,"Unsupervised Grammar Induction in a Framework of Information Compression
  by Multiple Alignment, Unification and Search",Unifying Computing and Cognition: The SP Theory and its Applications,4
232,"Integrating existing cone-shaped and projection-based cardinal direction
  relations and a TCSP-like decidable generalisation","Integrating cardinal direction relations and other orientation relations
  in Qualitative Spatial Reasoning",4
232,"Integrating existing cone-shaped and projection-based cardinal direction
  relations and a TCSP-like decidable generalisation",Reasoning about Cardinal Directions between Extended Objects,2
233,Modeling Object Oriented Constraint Programs in Z,Stochastic Constraint Programming: A Scenario-Based Approach,2
233,Modeling Object Oriented Constraint Programs in Z,Stochastic Constraint Programming,2
235,Weight Constraints as Nested Expressions,Logic Programs with Compiled Preferences,3
235,Weight Constraints as Nested Expressions,Smodels: A System for Answer Set Programming,3
235,Weight Constraints as Nested Expressions,Normal forms for Answer Sets Programming,3
235,Weight Constraints as Nested Expressions,"Towards Automated Integration of Guess and Check Programs in Answer Set
  Programming: A Meta-Interpreter and Applications",3
235,Weight Constraints as Nested Expressions,Fages' Theorem and Answer Set Programming,2
236,On the Expressibility of Stable Logic Programming,ACLP: Integrating Abduction and Constraint Solving,2
236,On the Expressibility of Stable Logic Programming,"Logic Programming Approaches for Representing and Solving Constraint
  Satisfaction Problems: A Comparison",2
236,On the Expressibility of Stable Logic Programming,Defeasible Logic Programming: An Argumentative Approach,2
236,On the Expressibility of Stable Logic Programming,"Abductive Logic Programs with Penalization: Semantics, Complexity and
  Implementation",2
236,On the Expressibility of Stable Logic Programming,Parametric Connectives in Disjunctive Logic Programming,2
237,Unifying Computing and Cognition: The SP Theory and its Applications,"Information Compression by Multiple Alignment, Unification and Search as
  a Unifying Principle in Computing and Cognition",5
237,Unifying Computing and Cognition: The SP Theory and its Applications,"Probabilistic Reasoning as Information Compression by Multiple
  Alignment, Unification and Search: An Introduction and Overview",4
237,Unifying Computing and Cognition: The SP Theory and its Applications,"Unsupervised Grammar Induction in a Framework of Information Compression
  by Multiple Alignment, Unification and Search",4
238,Recycling Computed Answers in Rewrite Systems for Abduction,"A Comparison of Different Cognitive Paradigms Using Simple Animats in a
  Virtual Laboratory, with Implications to the Notion of Cognition",2
240,Integrating Defeasible Argumentation and Machine Learning Techniques,Rule-based Machine Learning Methods for Functional Prediction,3
240,Integrating Defeasible Argumentation and Machine Learning Techniques,Defeasible Logic Programming: An Argumentative Approach,3
240,Integrating Defeasible Argumentation and Machine Learning Techniques,Pruning Search Space in Defeasible Argumentation,3
240,Integrating Defeasible Argumentation and Machine Learning Techniques,Restart Strategy Selection using Machine Learning Techniques,3
240,Integrating Defeasible Argumentation and Machine Learning Techniques,Operations for Learning with Graphical Models,2
241,Epistemic Foundation of Stable Model Semantics,Smodels: A System for Answer Set Programming,3
241,Epistemic Foundation of Stable Model Semantics,Unfolding Partiality and Disjunctions in Stable Model Semantics,3
241,Epistemic Foundation of Stable Model Semantics,"Achieving compositionality of the stable model semantics for Smodels
  programs",3
241,Epistemic Foundation of Stable Model Semantics,Distance Semantics for Belief Revision,2
243,Parametric external predicates for the DLV System,"Toward the Implementation of Functions in the DLV System (Preliminary
  Technical Report)",2
244,"Toward the Implementation of Functions in the DLV System (Preliminary
  Technical Report)",Parametric external predicates for the DLV System,2
244,"Toward the Implementation of Functions in the DLV System (Preliminary
  Technical Report)",Fact Sheet on Semantic Web,2
244,"Toward the Implementation of Functions in the DLV System (Preliminary
  Technical Report)",Some improved results on communication between information systems,2
245,Knowledge And The Action Description Language A,Decidable Reasoning in Terminological Knowledge Representation Systems,2
245,Knowledge And The Action Description Language A,Modeling Complex Domains of Actions and Change,2
245,Knowledge And The Action Description Language A,Regression with respect to sensing actions and partial states,2
245,Knowledge And The Action Description Language A,"A State-Based Regression Formulation for Domains with Sensing
  Actions<br> and Incomplete Information",2
246,"A Comparative Study of Fuzzy Classification Methods on Breast Cancer
  Data",Fuzzy Approaches to Abductive Inference,2
247,Intelligent Systems: Architectures and Perspectives,Can an Organism Adapt Itself to Unforeseen Circumstances?,3
247,Intelligent Systems: Architectures and Perspectives,Conscious Intelligent Systems - Part 1 : I X I,3
247,Intelligent Systems: Architectures and Perspectives,"Conscious Intelligent Systems - Part II - Mind, Thought, Language and
  Understanding",3
247,Intelligent Systems: Architectures and Perspectives,Modeling Chaotic Behavior of Stock Indices Using Intelligent Paradigms,2
247,Intelligent Systems: Architectures and Perspectives,Phase transition in SONFIS&SORST,2
248,A Neuro-Fuzzy Approach for Modelling Electricity Demand in Victoria,Neuro Fuzzy Systems: Sate-of-the-Art Modeling Techniques,3
249,Neuro Fuzzy Systems: Sate-of-the-Art Modeling Techniques,A Neuro-Fuzzy Approach for Modelling Electricity Demand in Victoria,3
249,Neuro Fuzzy Systems: Sate-of-the-Art Modeling Techniques,Is Neural Network a Reliable Forecaster on Earth? A MARS Query!,3
249,Neuro Fuzzy Systems: Sate-of-the-Art Modeling Techniques,Meta-Learning Evolutionary Artificial Neural Networks,3
249,Neuro Fuzzy Systems: Sate-of-the-Art Modeling Techniques,"Optimization of Evolutionary Neural Networks Using Hybrid Learning
  Algorithms",3
249,Neuro Fuzzy Systems: Sate-of-the-Art Modeling Techniques,"Response Prediction of Structural System Subject to Earthquake Motions
  using Artificial Neural Network",3
250,Is Neural Network a Reliable Forecaster on Earth? A MARS Query!,Meta-Learning Evolutionary Artificial Neural Networks,4
250,Is Neural Network a Reliable Forecaster on Earth? A MARS Query!,"Optimization of Evolutionary Neural Networks Using Hybrid Learning
  Algorithms",4
250,Is Neural Network a Reliable Forecaster on Earth? A MARS Query!,Neuro Fuzzy Systems: Sate-of-the-Art Modeling Techniques,3
250,Is Neural Network a Reliable Forecaster on Earth? A MARS Query!,"EvoNF: A Framework for Optimization of Fuzzy Inference Systems Using
  Neural Network Learning and Evolutionary Computation",3
250,Is Neural Network a Reliable Forecaster on Earth? A MARS Query!,Traffic Accident Analysis Using Decision Trees and Neural Networks,3
251,DCT Based Texture Classification Using Soft Computing Approach,"Short Term Load Forecasting Models in Czech Republic Using Soft
  Computing Paradigms",2
251,DCT Based Texture Classification Using Soft Computing Approach,Pattern Recognition Theory of Mind,2
251,DCT Based Texture Classification Using Soft Computing Approach,A Soft Computing Model for Physicians' Decision Process,2
254,Data Mining Approach for Analyzing Call Center Performance,"Fuzzy Artmap and Neural Network Approach to Online Processing of Inputs
  with Missing Values",2
254,Data Mining Approach for Analyzing Call Center Performance,"A Leaf Recognition Algorithm for Plant Classification Using
  Probabilistic Neural Network",2
255,Modeling Chaotic Behavior of Stock Indices Using Intelligent Paradigms,Intelligent Systems: Architectures and Perspectives,2
255,Modeling Chaotic Behavior of Stock Indices Using Intelligent Paradigms,Can an Organism Adapt Itself to Unforeseen Circumstances?,2
